adm1.x,adm2.x,adm1.y,adm2.y,adm1.distance,adm2.distance,distance,accepted
Lobata,Agostinho Neto,Lobata,Agostinho Neto,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agua Casada,Lobata,Agua Casada,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agua Coimbra,Lobata,Agua Coimbra,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agua Sampaio,Lobata,Agua Sampaio,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agua Telha,Lobata,Agua Telha,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Batelo,Lobata,Batelo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Bela Vista,Lobata,Bela Vista,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Boa Entrada,Lobata,Boa Entrada,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Boa Esperanca,Lobata,Boa Esperanca,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Canavial,Lobata,Canavial,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Changra,Lobata,Changra,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Desejada,Lobata,Desejada,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Correia,Lobata,Correia,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Guadalupe,Lobata,Guadalupe,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Ilheu,Lobata,Ilheu,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Laranjeiras,Lobata,Laranjeiras,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Maianco,Lobata,Maianco,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Maiaua,Lobata,Maiaua,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Matias Pina,Lobata,Matias Pina,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Mesquita,Lobata,Mesquita,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Monte Carmo,Lobata,Monte Carmo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Monte Macaco,Lobata,Monte Macaco,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Obo Angolar,Lobata,Obo Angolar,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Praia Guegue,Lobata,Praia Guegue,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Plancas I,Lobata,Plancas I,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Plancas II,Lobata,Plancas II,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Polino,Lobata,Polino,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Poto Varao,Lobata,Poto Varao,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Poto Zamblala,Lobata,Poto Zamblala,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Pouso Alto,Lobata,Pouso Alto,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Saltado,Lobata,Saltado,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Santa Clara,Lobata,Santa Clara,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Santa Luzia,Lobata,Santa Luzia,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Santarem,Lobata,Santarem,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Sao Carlos,Lobata,Sao Carlos,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Uba Cabra,Lobata,Uba Cabra,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Vale dos Prazeres,Lobata,Vale dos Prazeres,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Vale Flor,Lobata,Vale Flor,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Vila Braga,Lobata,Vila Braga,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Santa Teresa,Lobata,Santa Teresa,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Abade,Mezochi,Abade,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua Clara,Mezochi,Agua Clara,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua Cola,Mezochi,Agua Cola,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua das Belas,Mezochi,Agua das Belas,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua Lama,Mezochi,Agua Lama,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua Seca,Mezochi,Agua Seca,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua Tanque,Mezochi,Agua Tanque,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Albertina,Mezochi,Albertina,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Amoreira Grande,Mezochi,Amoreira Grande,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Amparo II,Mezochi,Amparo II,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Antonio Vaz,Mezochi,Antonio Vaz,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Batepa,Mezochi,Batepa,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Belem,Mezochi,Belem,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Benfica,Mezochi,Benfica,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Bobo Cativo,Mezochi,Bobo Cativo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Bom Retiro,Mezochi,Bom Retiro,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Bugue,Mezochi,Bugue,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Cabeca Agua,Mezochi,Cabeca Agua,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Cabeca Cal,Mezochi,Cabeca Cal,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Cachoeira,Mezochi,Cachoeira,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Caminho Novo,Mezochi,Caminho Novo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Canga,Mezochi,Canga,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Capela,Mezochi,Capela,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Cassuma,Mezochi,Cassuma,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Chamico,Mezochi,Chamico,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Cola Grande,Mezochi,Cola Grande,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Cova Barro,Mezochi,Cova Barro,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Cruzeiro,Mezochi,Cruzeiro,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Diana,Mezochi,Diana,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Diogo Simao,Mezochi,Diogo Simao,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Favorita,Mezochi,Favorita,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Filipina,Mezochi,Filipina,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Folha Fede,Mezochi,Folha Fede,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Formosa,Mezochi,Formosa,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Galo Canta,Mezochi,Galo Canta,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Gleba,Mezochi,Gleba,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Java,Mezochi,Java,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Liba Doque,Mezochi,Liba Doque,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Margao,Mezochi,Margao,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Melhorada,Mezochi,Melhorada,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Milagrosa,Mezochi,Milagrosa,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
