OBJECTID_1,adm1,adm2,tipo,Shape_Leng,Shape_Area,POP,Palud
0,Água Grande,Oque Mulundo,LUCHAN,2260.97961523,229725.886126,,
0,Água Grande,Oque Mulundo,LUCHAN,1927.77903953,202661.004501,,
0,Água Grande,Praia Francesa,LUCHAN,2465.35947655,323131.432071,,
0,Água Grande,Praia Francesa,LUCHAN,1935.03569511,170965.303899,,
0,Mé-Zochi,Água Mamblemble,LUCHAN,495.016526817,15315.0660788,,
0,Mé-Zochi,Água Mamblemble,LUCHAN,3564.5298892,619239.904152,,
0,Mé-Zochi,Almas,VILA,3526.63397548,791248.810418,,
0,Mé-Zochi,Almas,VILA,3906.24593805,805519.178928,,
0,Mé-Zochi,Benfica,ROÇA,2057.67743221,191668.171266,,
0,Mé-Zochi,Benfica,ROÇA,1854.1293759,160272.223928,,
0,Mé-Zochi,Benfica,ROÇA,4014.50019057,1087369.1189,,
0,Mé-Zochi,Bugue,LUCHAN,3513.8263788,726369.772325,,
0,Mé-Zochi,Bugue,LUCHAN,3047.71736938,466550.945623,,
0,Mé-Zochi,Malembê,,3945.59761268,978739.828911,,
0,Mé-Zochi,Malembê,,4427.81506443,1241658.65158,,
0,Mé-Zochi,Pau Sabão,LUCHAN,3518.0857781,781984.187073,,
0,Mé-Zochi,Pau Sabão,LUCHAN,2347.62943451,375580.341949,,
0,Mé-Zochi,São José,ROÇA,3946.75451629,845346.62481,,
0,Mé-Zochi,São José,ROÇA,4803.2679041,1160426.19115,,
0,Mé-Zochi,São José,ROÇA,9326.86365055,5678146.18666,,
0,Mé-Zochi,Santa Cruz,LUCHAN,3064.25456624,539606.548771,,
0,Mé-Zochi,Santa Cruz,LUCHAN,1864.26868955,159164.261246,,
0,Cantagalo,Concon,LUCHAN,12.8286815481,0.4331625252,,
0,Cantagalo,Concon,LUCHAN,4340.78094675,726019.607458,,
0,Cantagalo,Micondo,LUCHAN,4851.0186545,1158185.98571,,
0,Cantagalo,Micondo,ROÇA,2582.47772673,440096.952145,,
0,Cantagalo,Picao Flor,LUCHAN,5400.98417654,1296917.3939,,
0,Cantagalo,Picao Flor,LUCHAN,6295.81850288,1189935.64063,,
0,Cantagalo,Ribeira Afonso,VILA,4427.90104399,1155815.72374,,
0,Cantagalo,Ribeira Afonso,VILA,3688.51964949,645226.208375,,
0,Cantagalo,Riboque Santana,BAIRRO,1484.65101473,107205.413076,,
0,Cantagalo,Riboque Santana,BAIRRO,2949.67343702,358380.696555,,
0,Caué,Aliança,ROÇA,495.016326811,15315.0537129,,
0,Caué,Aliança,ROÇA,4071.4393001,913245.762047,,
0,Caué,Porto Alegre,ROÇA,13844.2837534,5277880.03244,,
0,Caué,Porto Alegre,ROÇA,399.714823636,7780.74914571,,
0,Lembá,Neves,CIDADE,2160.04255931,199331.817721,,
0,Lembá,Neves,CIDADE,2973.57262162,584255.618962,,
0,Lembá,Ribeira Palma Roça,,4050.45011583,596882.770183,,
0,Lembá,Ribeira Palma Roça,,7232.81812946,3210680.56989,,
0,Lobata,Micoló,LUCHAN,3769.16770372,437820.341246,,
0,Lobata,Micoló,LUCHAN,6478.9892392,2462305.01699,,
0,Lobata,Praia das Conchas,ROÇA,6116.60765855,1978625.7208,,
0,Lobata,Praia das Conchas,LUCHAN,7768.86456994,3273876.50915,,
0,Lobata,Bela Vista,ROÇA,7445.14015812,3188485.00956,,
0,Lobata,Bela Vista,ROÇA,3109.17986696,625534.067995,,
0,Lobata,Gratidão,ROÇA,4134.16041949,1072426.70357,,
0,Lobata,Gratidão,ROÇA,4455.27533409,1169022.8214,,
0,Lobata,Izaquente Grande,,495.016526819,15315.0660789,,
0,Lobata,Izaquente Grande,,1833.11752975,178575.975332,,
0,Lobata,Maianço,ROÇA,3853.59123316,920951.577587,,
0,Lobata,Maianço,LUCHAN,3866.90655035,813355.277433,,
0,Pagué,Oque Prazeres,LUCHAN,1693.52385579,168095.168414,,
0,Pagué,Oque Prazeres,LUCHAN,1782.97395936,162518.253161,,
0,Pagué,Santo Antonio,,9525.16508838,2642459.09581,,
0,Pagué,Santo Antonio,,2941.22878599,329725.765429,,
0,Pagué,Santo Antonio,,206.610424307,2667.99076347,,
0,Pagué,Santo Antonio,,3918.20091863,1026434.05372,,
