adm1.x,adm2.x,adm1.y,adm2.y,adm1.distance,adm2.distance,distance,accepted
Agua Grande,Aeroporto,Agua Grande,Aeroporto,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Campo de Milho,Agua Grande,Campo de Milho,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Agua Arroz,Agua Grande,Agua Arroz,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Bairro da Liberdade,Agua Grande,Bairro da Liberdade,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Praia Lagarto,Agua Grande,Praia Lagarto,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Chacara,Agua Grande,Chacara,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Pantufo,Agua Grande,Pantufo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Sao Gabriel,Agua Grande,Sao Gabriel,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Boa Morte,Agua Grande,Boa Morte,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Palha,Agua Grande,Palha,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Agua Porca,Agua Grande,Agua Porca,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agua Coimbra,Lobata,Agua Coimbra,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agua Sampaio,Lobata,Agua Sampaio,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Monte Carmo,Lobata,Monte Carmo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Santa Luzia,Lobata,Santa Luzia,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Vila Amelia,Lobata,Vila Amelia,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Vila Braga,Lobata,Vila Braga,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Santa Clara,Lobata,Santa Clara,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Bela Vista,Lobata,Bela Vista,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Praia Guegue,Lobata,Praia Guegue,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Monte Macaco,Lobata,Monte Macaco,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Boa Entrada,Lobata,Boa Entrada,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Praia das Conchas,Lobata,Praia das Conchas,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Changra,Lobata,Changra,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Maianco,Lobata,Maianco,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Gonga,Lobata,Gonga,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Desejada,Lobata,Desejada,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Ilheu,Lobata,Ilheu,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Formosa,Mezochi,Formosa,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Java,Mezochi,Java,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Mongo,Mezochi,Mongo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Roca Nova,Mezochi,Roca Nova,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Santa Adelaide,Mezochi,Santa Adelaide,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
