adm1.x,adm2.x,adm1.y,adm2.y,adm1.distance,adm2.distance,distance,accepted
Mezochi,Abade,Mezochi,Abade,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Abade,Principe,Abade,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Aeroporto,Agua Grande,Aeroporto,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Aeroporto,Principe,Aeroporto,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agostinho Neto,Lobata,Agostinho Neto,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Agua Arroz,Agua Grande,Agua Arroz,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agua Casada,Lobata,Agua Casada,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua Clara,Mezochi,Agua Clara,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agua Coimbra,Lobata,Agua Coimbra,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua Cola,Mezochi,Agua Cola,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua das Belas,Mezochi,Agua das Belas,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Agua Doutor,Principe,Agua Doutor,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Agua Ize,Cantagalo,Agua Ize,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Caue,Agua Joao,Caue,Agua Joao,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua Lama,Mezochi,Agua Lama,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Agua Porca,Agua Grande,Agua Porca,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agua Sampaio,Lobata,Agua Sampaio,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua Seca,Mezochi,Agua Seca,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Agua Tanque,Mezochi,Agua Tanque,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Agua Telha,Lobata,Agua Telha,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Albertina,Mezochi,Albertina,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Caue,Alianca,Caue,Alianca,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Almeirim,Agua Grande,Almeirim,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Amoreira Grande,Mezochi,Amoreira Grande,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Amparo,Cantagalo,Amparo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
