adm1.x,adm2.x,adm1.y,adm2.y,adm1.distance,adm2.distance,distance,accepted
Agua Grande,Praia Gamboa,Agua Grande,Praia Gamboa,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Agua Grande,Madre Deus,Agua Grande,Madre Deus,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Cruzeiro,Mezochi,Cruzeiro,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Mezochi,Praia Melao,Mezochi,Praia Melao,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Micolo,Lobata,Micolo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lobata,Conde,Lobata,Conde,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Neves,Lemba,Neves,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Generosa,Lemba,Generosa,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Ribeira Afonso,Cantagalo,Ribeira Afonso,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Cantagalo,Zandrigo,Cantagalo,Zandrigo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Principe,Porto Real,Principe,Porto Real,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Lemba,Ponta Figo,Lemba,Ponta Figo,5.55111512312578e-17,5.55111512312578e-17,1.11022302462516e-16,Yes
Caue,Angolares,Caue,AngraToldo,5.55111512312578e-17,0.269312169312169,0.269312169312169,No
Principe,Rua dos Trabalhador,Principe,Praia de Voras,5.55111512312578e-17,0.386466165413534,0.386466165413534,No
Caue,Emolve,Caue,Soliedade,5.55111512312578e-17,0.388888888888889,0.388888888888889,No
