adm1,adm2
Agua Grande,Aeroporto
Agua Grande,Agua Arroz
Agua Grande,Agua Bobo
Agua Grande,Agua Colma
Agua Grande,Agua Guegue
Agua Grande,Agua Marcal
Agua Grande,Agua Porca
Agua Grande,Agua Serra
Agua Grande,Almeirim
Agua Grande,Atras Parque
Agua Grande,Atras da Cadeia
Agua Grande,Atras do Cemiterio
Agua Grande,Atras do Estadio
Agua Grande,Avinida Amilca Cabral
Agua Grande,Avinida Independencia
Agua Grande,Bairro Militar
Agua Grande,Bairro Portugueses
Agua Grande,Bairro Verde
Agua Grande,Blublu
Agua Grande,Boa Morte
Agua Grande,Bobo Forro (A.Grande)
Agua Grande,Budo Budo
Agua Grande,Cafe Cafe
Agua Grande,Campo de Milho
Agua Grande,Centro C. Sao Tome
Agua Grande,Chacara
Agua Grande,Coconja Cuto
Agua Grande,Cruz Cuto
Agua Grande,Cruz Mami
Agua Grande,Diogo Nunes
Agua Grande,Dolores
Agua Grande,Fruta Fruta
Agua Grande,Fundacao Popular
Agua Grande,Ganda
Agua Grande,Hospital
Agua Grande,Kilombo
Agua Grande,Liberdade
Agua Grande,Lucumi
Agua Grande,Madre-de-Deus
Agua Grande,Marginal 12 Julho
Agua Grande,Mato Quixiba
Agua Grande,Mulundo
Agua Grande,Oque-del-Rei
Agua Grande,Palha
Agua Grande,Palmar
Agua Grande,Passadera
Agua Grande,Pema Pema
Agua Grande,Penha
Agua Grande,Ponta Mina
Agua Grande,Ponta Vares
Agua Grande,Ponte Graca
Agua Grande,Poto Poto
Agua Grande,Praia Cruz
Agua Grande,Praia Francesa
Agua Grande,Praia Gamboa
Agua Grande,Praia Lagarto
Agua Grande,Praia Lochinga
Agua Grande,Praia Nazare
Agua Grande,Quartel
Agua Grande,Quilombo
Agua Grande,R.P.M.Pinto da Rocha
Agua Grande,Riboque
Agua Grande,Rocinha Cola
Agua Grande,Rua 3 de Fevereiro
Agua Grande,Santo Antonio
Agua Grande,Sao Gabriel
Agua Grande,Sao Joao da Vargen
Agua Grande,Sao Marcal
Agua Grande,Sao Marcos
Agua Grande,Saton
Agua Grande,Ubua Caju
Agua Grande,Vage Sum Zon da Clucu
Agua Grande,Vigoso
Agua Grande,Vila Dolores
Agua Grande,Vila Fernanda
Agua Grande,Vila Mareco
Agua Grande,Vila Maria
Agua Grande,Vila de Pantufo Centro
Cantagalo,Agua Bobo(CT)
Cantagalo,Agua Funda
Cantagalo,Agua Ize
Cantagalo,Alges/Voz d’America
Cantagalo,Alto Douro
Cantagalo,Amparo
Cantagalo,Angra Toldo Cavalete
Cantagalo,Anselmo Andrade
Cantagalo,Apolonia
Cantagalo,Aviario de Pinheira
Cantagalo,Bairro 1
Cantagalo,Bairro Boa Vista
Cantagalo,Bairro Popular
Cantagalo,Bairro dos Casados
Cantagalo,Bela Dona
Cantagalo,Bernardo Faro
Cantagalo,Caridade (Musseque)
Cantagalo,Castelo
